dates,pollster,client,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,green,reform_uk,others,lead,year,brexit_party
19–20 Mar,Opinium,The Observer,GB,2005,51%,31%,7%,5%,3%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,20%,2020,0%
13–16 Mar,Ipsos,Evening Standard,GB,1003,52%,30%,9%,4%,4%,,1% Plaid Cymru on 1%,22%,2020,0%
12–13 Mar,Opinium,The Observer,GB,2005,49%,32%,6%,5%,5%,,4% UKIP on 2%Plaid Cymru on 1%Other on 1%,17%,2020,0%
5–9 Mar,Kantar Public,,GB,1171,50%,29%,11%,4%,1%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,21%,2020,2%
3–6 Mar,BMG,The Independent,GB,1498,45%,28%,11%,3%,6%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,17%,2020,3%
19–20 Feb,Savanta ComRes,Sunday Express,GB,2005,47%,31%,9%,4%,4%,,1% Plaid Cymru on 1%,16%,2020,3%
12–14 Feb,Opinium Archived 18 February 2020 at the Wayback Machine,The Observer,GB,2007,47%,32%,7%,6%,4%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,15%,2020,2%
12 Feb,Redfield & Wilton,,GB,1216,49%,31%,9%,4%,4%,,3% Plaid Cymru on 1%Other on 2%,18%,2020,–
9–10 Feb,YouGov,The Times,GB,1694,48%,28%,10%,4%,6%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,20%,2020,2%
4–7 Feb,BMG,The Independent,GB,1503,41%,29%,11%,5%,8%,,4% UKIP on 2%Plaid Cymru on 1%Other on 1%,12%,2020,3%
31 Jan – 3 Feb,Ipsos,Evening Standard,GB,1001,47%,30%,11%,4%,5%,,2% Plaid Cymru on 1%Other on 1%,17%,2020,1%
31 Jan – 2 Feb,YouGov,The Times,GB,1575,49%,30%,8%,4%,5%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,19%,2020,2%
30–31 Jan,Survation,,UK,1015,44%,33%,10%,5%,3%,,2% Plaid Cymru on 0%Other on 2%,11%,2020,3%
24–26 Jan,YouGov,The Times,GB,1628,49%,29%,10%,5%,4%,,1% Plaid Cymru on 1%UKIP on 0%,20%,2020,2%
15–17 Jan,Opinium,The Observer,GB,1978,47%,30%,9%,5%,4%,,3% Plaid Cymru on 1%UKIP on 0%Other on 2%,17%,2020,3%
8–10 Jan,BMG,The Independent,GB,1508,44%,29%,11%,3%,5%,,2% UKIP on 2%Plaid Cymru on 0%,15%,2020,4%
12 Dec 2019,2019 general election,2019 general election,UK,–,43.6%,32.1%,11.6%,3.9%,2.7%,,3.7%,11.5%,2020,2.0%
12 Dec 2019,2019 general election,2019 general election,GB,–,44.7%,32.9%,11.8%,4.0%,2.8%,,2.2%,11.8%,2020,2.1%
